First Name,Last Name,Result,Date Completed,Overall Score,Overall Max Score,Overall Percentage Score,Time Limit,Country,Time Taken,Start Time,End Time,Email,Candidate Id,Exam Code,Exam Name,Exam Id
Lasse,Kjær,Fail,2021-08-17,41.0000,100,41.0%,240,IS,62,02:45,03:49,LasseAKjaer@jourrapide.com,6103878,PR000002,CDCA: Core DDI Configuration and Administration 8.4,64111
Clint,Reynolds,Fail,2021-08-17,79.0000,100,79.0%,240,SI,124,08:46,10:50,ClintEReynolds@dayrep.com,6106297,PR000002,CDCA: Core DDI Configuration and Administration 8.4,64111
Marko,Becker,Fail,2021-08-23,78.0000,100,78.0%,240,CY,239,00:02,04:03,MarkoBecker@rhyta.com,6101057,PR000002,CDCA: Core DDI Configuration and Administration 8.4,64111
Aimé,Lévesque,Fail,2021-08-24,70.0000,100,70.0%,240,HU,239,14:46,18:48,AimeLevesque@jourrapide.com,6110698,PR000002,CDCA: Core DDI Configuration and Administration 8.4,64111
Ada,Ortiz,Fail,2021-08-25,77.0000,100,77.0%,240,NZ,240,08:59,12:59,AdaOrtizLovato@teleworm.us,6105617,PR000002,CDCA: Core DDI Configuration and Administration 8.4,64111
Sebastian,Bech,Fail,2021-08-25,70.0000,100,70.0%,240,DK,216,23:02,02:39,SebastianSBech@superrito.com,6116182,PR000002,CDCA: Core DDI Configuration and Administration 8.4,64111
Hadiyyah,Ba,Fail,2021-09-01,66.0000,100,66.0%,240,NZ,195,08:59,12:16,HadiyyahKalilaBa@dayrep.com,6127566,PR000002,CDCA: Core DDI Configuration and Administration 8.4,64111
Milan,Maťátko,Fail,2021-09-02,70.0000,100,70.0%,240,SI,160,00:52,03:33,MilanMatatko@teleworm.us,6128561,PR000002,CDCA: Core DDI Configuration and Administration 8.4,64111
Hadiyyah,Ba,Fail,2021-09-06,68.0000,100,68.0%,240,NZ,186,01:28,04:36,HadiyyahKalilaBa@dayrep.com,6127566,PR000002,CDCA: Core DDI Configuration and Administration 8.4,64111
Taketo,Kitakawa,Fail,2021-09-08,78.0000,100,78.0%,240,NZ,148,03:44,06:13,TaketoKitakawa@cuvox.de,6135917,PR000002,CDCA: Core DDI Configuration and Administration 8.4,64111
John,Byers,Fail,2021-09-09,51.0000,100,51.0%,240,CY,57,11:29,12:27,JohnJByers@dayrep.com,6138182,PR000002,CDCA: Core DDI Configuration and Administration 8.4,64111
Telford,Chicoine,Fail,2021-09-09,68.0000,100,68.0%,240,FR,169,11:29,14:19,TelfordChicoine@armyspy.com,6138185,PR000002,CDCA: Core DDI Configuration and Administration 8.4,64111
Holly,Duncombe,Fail,2021-09-11,76.0000,100,76.0%,240,AU,145,09:40,12:12,HollyDuncombe@teleworm.us,6136430,PR000002,CDCA: Core DDI Configuration and Administration 8.4,64111
Ada,Ortiz,Fail,2021-09-14,78.0000,100,78.0%,240,NZ,240,11:11,15:12,AdaOrtizLovato@teleworm.us,6105617,PR000002,CDCA: Core DDI Configuration and Administration 8.4,64111
Teodata,Sabbatini,Fail,2021-09-14,78.0000,100,78.0%,240,GB,154,12:03,14:38,TeodataSabbatini@dayrep.com,6141796,PR000002,CDCA: Core DDI Configuration and Administration 8.4,64111
John,Byers,Fail,2021-09-15,73.0000,100,73.0%,240,CY,238,06:01,11:31,JohnJByers@dayrep.com,6138182,PR000002,CDCA: Core DDI Configuration and Administration 8.4,64111
Telford,Chicoine,Fail,2021-09-15,70.0000,100,70.0%,240,FR,233,06:01,09:55,TelfordChicoine@armyspy.com,6138185,PR000002,CDCA: Core DDI Configuration and Administration 8.4,64111
Ildebrando,Conti,Fail,2021-09-15,79.0000,100,79.0%,240,EE,238,05:03,09:02,IldebrandoConti@gustr.com,6145571,PR000002,CDCA: Core DDI Configuration and Administration 8.4,64111
Eugène,te Pas,Fail,2021-09-22,49.0000,100,49.0%,240,GL,239,13:34,17:56,EugenetePas@einrot.com,6156439,PR000002,CDCA: Core DDI Configuration and Administration 8.4,64111
Lasse,Kjær,Fail,2021-09-23,65.0000,100,65.0%,240,IS,165,04:37,07:25,LasseAKjaer@jourrapide.com,6103878,PR000002,CDCA: Core DDI Configuration and Administration 8.4,64111
Mads,Søndergaard,Fail,2021-09-26,69.0000,100,69.0%,240,BE,233,02:19,23:22,MadsMSondergaard@jourrapide.com,6158772,PR000002,CDCA: Core DDI Configuration and Administration 8.4,64111
Milton,Fredriksson,Fail,2021-09-26,74.0000,100,74.0%,240,CZ,233,05:21,09:15,MiltonFredriksson@jourrapide.com,6160818,PR000002,CDCA: Core DDI Configuration and Administration 8.4,64111
Lukas,Miller,Fail,2021-09-27,48.0000,100,48.0%,240,CY,214,08:23,11:58,LukasMiller@gustr.com,6162387,PR000002,CDCA: Core DDI Configuration and Administration 8.4,64111
Henri,Léveillé,Fail,2021-09-28,77.0000,100,77.0%,240,GB,112,04:02,05:55,HenriLeveille@teleworm.us,6163748,PR000002,CDCA: Core DDI Configuration and Administration 8.4,64111
Saber,Paquin,Fail,2021-09-30,72.0000,100,72.0%,240,SI,220,03:28,07:09,SaberPaquin@armyspy.com,6167031,PR000002,CDCA: Core DDI Configuration and Administration 8.4,64111
