First Name,Last Name,Result,Date Completed,Overall Score,Overall Max Score,Overall Percentage Score,Time Limit,Country,Time Taken,Start Time,End Time,Email,Candidate Id,Exam Code,Exam Name,Exam Id
Adam,Mathiasen,Pass,2021-08-11,89.0000,100,89.0%,240,CY,187,09:03,12:11,AdamCMathiasen@jourrapide.com,6097868,PR000007,DDIP: DDI Professional,64209
Mohammad,Frederiksen,Pass,2021-08-12,80.0000,100,80.0%,240,AT,166,22:27,01:14,MohammadJFrederiksen@cuvox.de,6099509,PR000007,DDIP: DDI Professional,64209
Pavel,Doleček,Pass,2021-08-12,84.0000,100,84.0%,240,FR,130,10:15,12:28,PavelDolecek@einrot.com,6100385,PR000007,DDIP: DDI Professional,64209
Thor,Hedlund,Pass,2021-08-12,88.0000,100,88.0%,240,GB,174,17:42,20:38,ThorHedlund@superrito.com,6100799,PR000007,DDIP: DDI Professional,64209
Marko,Becker,Pass,2021-08-17,90.0000,100,90.0%,240,CY,175,21:54,00:51,MarkoBecker@rhyta.com,6101057,PR000007,DDIP: DDI Professional,64209
Kristoffer,Eliasson,Pass,2021-08-18,80.0000,100,80.0%,240,PL,222,16:58,20:42,KristofferEliasson@dayrep.com,6108518,PR000007,DDIP: DDI Professional,64209
Louise,Jessen,Pass,2021-08-20,92.0000,100,92.0%,240,NL,207,05:29,08:58,LouiseMJessen@einrot.com,6101175,PR000007,DDIP: DDI Professional,64209
Jana,Drechsler,Pass,2021-08-20,82.0000,100,82.0%,240,CH,105,22:44,00:30,JanaDrechsler@cuvox.de,6110194,PR000007,DDIP: DDI Professional,64209
Romolo,Trevisani,Pass,2021-08-25,84.0000,100,84.0%,240,NO,233,13:16,17:10,RomoloTrevisani@superrito.com,6114305,PR000007,DDIP: DDI Professional,64209
Mariano,Ferri,Pass,2021-08-25,84.0000,100,84.0%,240,NL,231,21:48,01:41,MarianoFerri@armyspy.com,6116078,PR000007,DDIP: DDI Professional,64209
Jay,Herbert,Pass,2021-08-25,86.0000,100,86.0%,240,DE,126,03:00,05:08,JayHerbert@rhyta.com,6116501,PR000007,DDIP: DDI Professional,64209
Jeoffroi,Paiement,Pass,2021-08-25,95.0000,100,95.0%,240,US,149,03:23,05:54,JeoffroiPaiement@cuvox.de,6116525,PR000007,DDIP: DDI Professional,64209
Hudson,Becke,Pass,2021-08-26,90.0000,100,90.0%,240,FR,224,22:16,02:01,HudsonBecke@einrot.com,6117830,PR000007,DDIP: DDI Professional,64209
Finlay,Howarth,Pass,2021-08-26,87.0000,100,87.0%,240,US,211,12:33,16:05,FinlayHowarth@rhyta.com,6119086,PR000007,DDIP: DDI Professional,64209
David,Gonzalez,Pass,2021-08-27,91.0000,100,91.0%,240,GL,168,01:24,04:15,DavidDGonzalez@jourrapide.com,6119798,PR000007,DDIP: DDI Professional,64209
Laurent,Jáquez,Pass,2021-08-27,85.0000,100,85.0%,240,SI,157,06:37,09:16,LaurentJaquezAviles@superrito.com,6120170,PR000007,DDIP: DDI Professional,64209
Elma,Abrahamsson,Pass,2021-08-28,86.0000,100,86.0%,240,BR,239,19:38,23:39,ElmaAbrahamsson@dayrep.com,6109216,PR000007,DDIP: DDI Professional,64209
Kageki,Inaba,Pass,2021-08-30,82.0000,100,82.0%,240,UY,227,14:29,18:17,KagekiInaba@dayrep.com,6106054,PR000007,DDIP: DDI Professional,64209
Edvin,Dahlberg,Pass,2021-08-30,89.0000,100,89.0%,240,ES,135,11:02,13:18,EdvinDahlberg@gustr.com,6123958,PR000007,DDIP: DDI Professional,64209
Olga,Lindgren,Pass,2021-08-31,82.0000,100,82.0%,240,DE,237,22:41,03:11,OlgaLindgren@dayrep.com,6123927,PR000007,DDIP: DDI Professional,64209
Felix,Zimmerman,Pass,2021-08-31,90.0000,100,90.0%,240,DE,163,22:33,02:54,FelixZimmerman@armyspy.com,6124626,PR000007,DDIP: DDI Professional,64209
Tisha,Jones,Pass,2021-09-01,80.0000,100,80.0%,240,HU,201,10:06,13:38,TishaMJones@jourrapide.com,6127649,PR000007,DDIP: DDI Professional,64209
Karina,Nowak ,Pass,2021-09-03,80.0000,100,80.0%,240,PT,128,22:06,00:15,KarinaNowak@einrot.com,6129896,PR000007,DDIP: DDI Professional,64209
Jürgen,Köhler,Pass,2021-09-05,87.0000,100,87.0%,240,AT,147,22:41,01:10,JurgenKohler@gustr.com,6107186,PR000007,DDIP: DDI Professional,64209
Guo,Tsui,Pass,2021-09-05,85.0000,100,85.0%,240,SI,180,05:23,08:24,GuoTsui@rhyta.com,6113362,PR000007,DDIP: DDI Professional,64209
Cody,Zinnbauer,Pass,2021-09-05,92.0000,100,92.0%,240,NZ,168,20:51,23:41,CodyZinnbauer@rhyta.com,6132135,PR000007,DDIP: DDI Professional,64209
Lin,Pan,Pass,2021-09-07,81.0000,100,81.0%,240,GB,163,04:30,08:11,LinPan@dayrep.com,6128784,PR000007,DDIP: DDI Professional,64209
Lucas,Jørgensen,Pass,2021-09-07,97.0000,100,97.0%,240,SE,82,06:41,08:04,LucasFJorgensen@fleckens.hu,6134539,PR000007,DDIP: DDI Professional,64209
Josef,Hoferek,Pass,2021-09-08,89.0000,100,89.0%,240,NO,159,08:09,10:49,JosefHoferek@superrito.com,6135210,PR000007,DDIP: DDI Professional,64209
Bogusław,Jaworski,Pass,2021-09-08,84.0000,100,84.0%,240,TN,156,05:07,07:45,BoguslawJaworski@fleckens.hu,6136004,PR000007,DDIP: DDI Professional,64209
Francesc,Armenta,Pass,2021-09-09,85.0000,100,85.0%,240,PL,223,04:22,08:06,FrancescArmentaLira@jourrapide.com,6134642,PR000007,DDIP: DDI Professional,64209
Aleksander,Jaworski,Pass,2021-09-10,81.0000,100,81.0%,240,DK,209,12:59,16:29,AleksanderJaworski@gustr.com,6124295,PR000007,DDIP: DDI Professional,64209
Kenan,Berggren,Pass,2021-09-10,89.0000,100,89.0%,240,AU,167,08:23,13:24,KenanBerggren@cuvox.de,6139291,PR000007,DDIP: DDI Professional,64209
Oto,Sarabia,Pass,2021-09-11,85.0000,100,85.0%,240,NL,140,00:18,02:40,OtoSarabiaCantu@rhyta.com,6136468,PR000007,DDIP: DDI Professional,64209
Kathrin,Weiss,Pass,2021-09-13,87.0000,100,87.0%,240,DE,221,00:50,04:33,KathrinWeiss@einrot.com,6141641,PR000007,DDIP: DDI Professional,64209
Marvin,Elliott,Pass,2021-09-13,80.0000,100,80.0%,240,SE,97,03:14,04:54,MarvinMElliott@fleckens.hu,6141861,PR000007,DDIP: DDI Professional,64209
Harley,Davey,Pass,2021-09-13,89.0000,100,89.0%,240,BR,131,13:37,15:50,HarleyDavey@einrot.com,6142891,PR000007,DDIP: DDI Professional,64209
Dyta,Gorska,Pass,2021-09-14,81.0000,100,81.0%,240,SE,239,00:29,13:48,DytaGorska@dayrep.com,6126659,PR000007,DDIP: DDI Professional,64209
