First Name,Last Name,Result,Date Completed,Overall Score,Overall Max Score,Overall Percentage Score,Time Limit,Country,Time Taken,Start Time,End Time,Email,Candidate Id,Exam Code,Exam Name,Exam Id
Benedetto,Giordano,Pass,2021-08-13,5.0000,5,100.0%,10,EE,0,19:08,19:09,BenedettoGiordano@einrot.com,6102132,PR000001,Dummy Test,64102
Asim,Noordeloos,Pass,2021-08-14,4.0000,5,80.0%,10,PT,0,05:55,05:55,AsimNoordeloos@teleworm.us,6102470,PR000001,Dummy Test,64102
Jürgen,Köhler,Pass,2021-08-17,5.0000,5,100.0%,10,AT,0,22:09,22:10,JurgenKohler@gustr.com,6107186,PR000001,Dummy Test,64102
Wasil,Sleiman,Pass,2021-08-23,5.0000,5,100.0%,10,UY,1,14:18,14:19,WasilAntarahSleiman@rhyta.com,6113968,PR000001,Dummy Test,64102
Venerando,Bianchi,Pass,2021-09-02,5.0000,5,100.0%,10,TN,2,02:34,02:37,VenerandoBianchi@gustr.com,6128682,PR000001,Dummy Test,64102
Lin,Pan,Pass,2021-09-02,5.0000,5,100.0%,10,GB,1,04:23,04:25,LinPan@dayrep.com,6128784,PR000001,Dummy Test,64102
Jarogniew,Dudek,Pass,2021-09-28,4.0000,5,80.0%,10,FI,2,22:37,22:39,JarogniewDudek@dayrep.com,6165111,PR000001,Dummy Test,64102
Marcus,Skov,Pass,2021-10-01,4.0000,5,80.0%,10,NZ,0,19:27,19:29,MarcusHSkov@rhyta.com,6169950,PR000001,Dummy Test,64102
Dirk,Lang,Pass,2021-10-05,5.0000,5,100.0%,10,BR,1,09:22,09:24,DirkLang@jourrapide.com,6174711,PR000001,Dummy Test,64102
Bent,Madsen,Pass,2021-10-08,5.0000,5,100.0%,10,NO,1,08:06,08:07,BentFMadsen@fleckens.hu,6179773,PR000001,Dummy Test,64102
Antoni,Gordon,Pass,2021-10-21,5.0000,5,100.0%,10,DE,2,08:50,08:52,AntoniGordon@dayrep.com,6196807,PR000001,Dummy Test,64102
Taisei,Kitamura,Pass,2021-10-23,4.0000,5,80.0%,10,DK,0,06:04,06:05,TaiseiKitamura@dayrep.com,6199284,PR000001,Dummy Test,64102
Sonny,Gordon,Pass,2021-11-05,5.0000,5,100.0%,10,EE,1,11:04,11:06,SonnyGordon@fleckens.hu,6217021,PR000001,Dummy Test,64102
Drugi,Wysocki,Pass,2021-11-08,4.0000,5,80.0%,10,PL,1,15:30,15:31,DrugiWysocki@rhyta.com,6150705,PR000001,Dummy Test,64102
Daniella,Henriksson,Pass,2021-11-22,4.0000,5,80.0%,10,CH,1,01:11,01:13,DaniellaHenriksson@dayrep.com,6243196,PR000001,Dummy Test,64102
Logan,Noskowski,Pass,2021-12-02,4.0000,5,80.0%,10,SE,0,04:53,04:54,LoganNoskowski@dayrep.com,6260630,PR000001,Dummy Test,64102
Sun,Tao,Pass,2021-12-05,4.0000,5,80.0%,10,EE,1,11:09,11:11,SunTao@dayrep.com,6264846,PR000001,Dummy Test,64102
Afifah,Fakhoury,Pass,2021-12-13,4.0000,5,80.0%,10,FR,0,08:02,08:02,AfifahShadhaFakhoury@armyspy.com,6278655,PR000001,Dummy Test,64102
Alfie,Rahman,Pass,2023-06-28,4.0000,5,80.0%,10,ES,1,16:25,16:27,AlfieRahman@einrot.com,6123792,PR000001,Dummy Test,64102
